time,latitude,longitude,distanceinmeters,heartrate,HHMMSS,meters,seconds,mph
2021-05-08T22:27:59.000Z,32.81500758603215,-117.23614669404924,0.0,62,22:27:59.000Z,0.0,0,0.0
2021-05-08T22:28:23.000Z,32.81504966318607,-117.2355944942683,50.56999969482422,63,22:28:23.000Z,50.56999969482422,24,4.713545388221741
2021-05-08T22:28:26.000Z,32.81505988910794,-117.23555853590369,53.869998931884766,66,22:28:26.000Z,3.299999237060547,3,2.460699431101481
2021-05-08T22:28:27.000Z,32.815059553831816,-117.2355493158102,54.720001220703125,69,22:28:27.000Z,0.8500022888183594,1,1.90145512008667
2021-05-08T22:28:28.000Z,32.81505720689893,-117.23553967662156,55.529998779296875,72,22:28:28.000Z,0.80999755859375,1,1.811964538574219
2021-05-08T22:28:29.000Z,32.815060056746006,-117.23553087562323,56.40999984741211,73,22:28:29.000Z,0.8800010681152344,1,1.9685623893737794
2021-05-08T22:28:29.000Z,32.815060056746006,-117.23553087562323,56.40999984741211,73,22:28:29.000Z,0.0,0,0.0
2021-05-08T22:28:33.000Z,32.815036503598094,-117.23550355061889,57.93000030517578,76,22:28:33.000Z,1.5200004577636719,4,0.8500602560043335
2021-05-08T22:28:34.000Z,32.81503273174167,-117.23549894057214,58.220001220703125,79,22:28:34.000Z,0.29000091552734375,1,0.648732048034668
2021-05-08T22:28:35.000Z,32.81502946279943,-117.23549357615411,58.599998474121094,74,22:28:35.000Z,0.37999725341796875,1,0.8500538558959961
2021-05-08T22:29:45.000Z,32.8150933329016,-117.23540925420821,96.54000091552734,62,22:29:45.000Z,37.94000244140625,70,1.2124540780203683
2021-05-08T22:29:51.000Z,32.81514773145318,-117.23543331027031,102.36000061035156,59,22:29:51.000Z,5.819999694824219,6,2.169889886220296
2021-05-08T22:30:09.000Z,32.81531226821244,-117.23545426502824,121.11000061035156,56,22:30:09.000Z,18.75,18,2.3302083333333337
2021-05-08T22:31:38.000Z,32.8154006972909,-117.23548762500286,156.99000549316406,62,22:31:38.000Z,35.8800048828125,89,0.901837875537658
2021-05-08T22:31:43.000Z,32.815397595986724,-117.23549558781087,157.1699981689453,59,22:31:43.000Z,0.17999267578125,5,0.08052872314453124
2021-05-08T22:32:55.000Z,32.815383011475205,-117.23551067523658,169.75999450683594,62,22:32:55.000Z,12.589996337890625,72,0.3911641917758518
2021-05-08T22:33:19.000Z,32.815410420298576,-117.23550857976079,175.32000732421875,68,22:33:19.000Z,5.5600128173828125,24,0.518239528020223
2021-05-08T22:33:30.000Z,32.815418215468526,-117.23553355783224,180.72000122070312,"
                ",22:33:30.000Z,5.399993896484375,11,1.0981623951305044
2021-05-08T22:33:31.000Z,32.81542961485684,-117.23554872907698,182.60000610351562,74,22:33:31.000Z,1.8800048828125,1,4.205570922851563
2021-05-08T22:33:32.000Z,32.815441684797406,-117.2355736233294,185.25999450683594,74,22:33:32.000Z,2.6599884033203125,1,5.950394058227539
2021-05-08T22:33:54.000Z,32.81533422879875,-117.23596279509366,235.55999755859375,73,22:33:54.000Z,50.30000305175781,22,5.114595764853737
2021-05-08T22:34:13.000Z,32.815332636237144,-117.23601635545492,237.5,94,22:34:13.000Z,1.94000244140625,19,0.2284097611276727
2021-05-08T22:34:14.000Z,32.815332720056176,-117.23601635545492,237.5,94,22:34:14.000Z,0.0,1,0.0
2021-05-08T22:34:17.000Z,32.815332720056176,-117.23601635545492,237.5,97,22:34:17.000Z,0.0,3,0.0
2021-05-08T22:35:35.000Z,32.81536465510726,-117.23600973375142,244.16000366210938,"
                ",22:35:35.000Z,6.660003662109375,78,0.19100548964280348
